城市id,城市名称,城市名称英文,市级名称,市级名称英文,省级名称,省级名称英文,国家名称,国家名称英文,经度,纬度,cityType
2,北京市,Beijing,北京市,Beijing,北京市,Beijing,中国,China,116.407112,39.904138,0
3,北京市朝阳区,Chaoyang District,北京市,Beijing,北京市,Beijing,中国,China,116.443244,39.921224,0
4,北京市通州区,"Tongzhou District, Beijing",北京市,Beijing,北京市,Beijing,中国,China,116.656469,39.910107,0
5,昌平区,Changping District,北京市,Beijing,北京市,Beijing,中国,China,116.23128,40.220526,0
6,顺义区,Shunyi District,北京市,Beijing,北京市,Beijing,中国,China,116.655423,40.130567,0
7,怀柔区,Huairou District,北京市,Beijing,北京市,Beijing,中国,China,116.631928,40.316276,0
8,大兴区,Daxing District,北京市,Beijing,北京市,Beijing,中国,China,116.341363,39.72677,0
9,平谷区,Pinggu District,北京市,Beijing,北京市,Beijing,中国,China,117.121046,40.140503,0
10,密云区,Miyun District,北京市,Beijing,北京市,Beijing,中国,China,116.842801,40.376238,0
11,延庆区,Yanqing District,北京市,Beijing,北京市,Beijing,中国,China,115.973795,40.455164,0
12,丰台区,Fengtai District,北京市,Beijing,北京市,Beijing,中国,China,116.286181,39.858452,0
13,石景山区,Shijingshan District,北京市,Beijing,北京市,Beijing,中国,China,116.222584,39.905745,0
14,房山区,Fangshan District,北京市,Beijing,北京市,Beijing,中国,China,116.138993,39.74695,0
15,门头沟区,Mentougou District,北京市,Beijing,北京市,Beijing,中国,China,116.09997,39.939807,0
16,八达岭,Badaling,北京市,Beijing,北京市,Beijing,中国,China,115.966303,40.363739,0
17,佛爷顶,Foyeding,北京市,Beijing,北京市,Beijing,中国,China,116.135206,40.60793859,0
18,汤河口,Tanghekou,北京市,Beijing,北京市,Beijing,中国,China,116.608715,40.749923,0
20,斋堂,Zhaitang,北京市,Beijing,北京市,Beijing,中国,China,115.697193,39.972997,0
21,霞云岭,Xiayunling,北京市,Beijing,北京市,Beijing,中国,China,115.745277,39.727196,1
22,海淀区,Haidian District,北京市,Beijing,北京市,Beijing,中国,China,116.297828,39.959738,0
24,天津市,Tianjin,天津市,Tianjin,天津市,Tianjin,中国,China,117.1999887,39.13000573,0
25,宝坻区,Baodi District,天津市,Tianjin,天津市,Tianjin,中国,China,117.30242,39.725895,0
26,武清区,Wuqing District,天津市,Tianjin,天津市,Tianjin,中国,China,117.06313,39.378593,0
27,宁河区,Ninghe District,天津市,Tianjin,天津市,Tianjin,中国,China,117.8315,39.33189,0
28,静海区,Jinghai District,天津市,Tianjin,天津市,Tianjin,中国,China,116.91908,38.934357,0
29,蓟州区,Jizhou district,天津市,Tianjin,天津市,Tianjin,中国,China,117.40182,40.043865,0
30,东丽区,Dongli District,天津市,Tianjin,天津市,Tianjin,中国,China,117.314351,39.09148198,0
31,西青区,Xiqing District,天津市,Tianjin,天津市,Tianjin,中国,China,117.0179721,39.14530551,0
32,北辰区,Beichen District,天津市,Tianjin,天津市,Tianjin,中国,China,117.13244,39.2289329,0
33,汉沽,Hangu District,天津市,Tianjin,天津市,Tianjin,中国,China,117.806575,39.27981783,0
34,津南区,Jinnan District,天津市,Tianjin,天津市,Tianjin,中国,China,117.357396,38.9397352,0
35,塘沽,Tanggu District,天津市,Tianjin,天津市,Tianjin,中国,China,117.6011346,39.02398716,0
36,大港,Dagang District,天津市,Tianjin,天津市,Tianjin,中国,China,117.464504,38.8418017,0
37,滨海新区,Binhai New District,天津市,Tianjin,天津市,Tianjin,中国,China,117.710776,39.00554381,0
39,上海市,Shanghai,上海市,Shanghai,上海市,Shanghai,中国,China,121.473523,31.230427,0
40,嘉定区,Jiading District,上海市,Shanghai,上海市,Shanghai,中国,China,121.265395,31.375623,0
41,浦东新区,Pudong New District,上海市,Shanghai,上海市,Shanghai,中国,China,121.544677,31.221931,0
42,金山区,Jinshan District,上海市,Shanghai,上海市,Shanghai,中国,China,121.341774,30.741879,0
43,松江区,Songjiang District,上海市,Shanghai,上海市,Shanghai,中国,China,121.227479,31.032178,0
44,青浦区,"Qingpu District, Shanghai",上海市,Shanghai,上海市,Shanghai,中国,China,121.124117,31.150734,0
45,南汇,Nanhui District,上海市,Shanghai,上海市,Shanghai,中国,China,121.763009,31.044919,0
46,奉贤区,Fengxian District,上海市,Shanghai,上海市,Shanghai,中国,China,121.474146,30.917961,0
47,崇明区,Chongming district,上海市,Shanghai,上海市,Shanghai,中国,China,121.397457,31.623653,0
48,上海市宝山区,"Baoshan District, Shanghai",上海市,Shanghai,上海市,Shanghai,中国,China,121.489871,31.405488,0
49,徐汇区,Xuhui District,上海市,Shanghai,上海市,Shanghai,中国,China,121.440114,31.192438,0
50,闵行区,Minhang District,上海市,Shanghai,上海市,Shanghai,中国,China,121.381375,31.112732,0
52,重庆市,Chongqing,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.5227016,29.54407809,0
53,黔江区,Qianjiang District,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.775523,29.52847782,0
54,北碚区,Beibei District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.4394512,29.82971651,0
57,巴南区,Banan District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.52355,29.379204,0
59,长寿区,Changshou District,重庆市,Chongqing,重庆市,Chongqing,中国,China,107.06115,29.833637,0
60,合川区,Hechuan District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.2682457,29.99503117,0
61,永川区,Yongchuan District,重庆市,Chongqing,重庆市,Chongqing,中国,China,105.89661,29.360287,0
62,江津区,Jiangjin District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.25296,29.281507,0
63,南川区,Nanchuan District,重庆市,Chongqing,重庆市,Chongqing,中国,China,107.10468,29.168348,0
64,綦江区,Qijiang District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.63931,29.025259,0
65,潼南区,Tongnan District,重庆市,Chongqing,重庆市,Chongqing,中国,China,105.821,30.173649,0
66,铜梁区,Tongliang District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.0522419,29.84469541,0
67,大足区,Dazu District,重庆市,Chongqing,重庆市,Chongqing,中国,China,105.7061781,29.7029426,0
68,荣昌区,Rongchang District,重庆市,Chongqing,重庆市,Chongqing,中国,China,105.5774836,29.39938459,0
69,璧山区,Bishan District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.21726,29.599508,0
70,垫江县,Dianjiang County,重庆市,Chongqing,重庆市,Chongqing,中国,China,107.35619,30.323742,0
71,武隆区,Wulong District,重庆市,Chongqing,重庆市,Chongqing,中国,China,107.7425523,29.32029555,0
72,丰都县,Fengdu County,重庆市,Chongqing,重庆市,Chongqing,中国,China,107.71456,29.887396,0
73,城口县,Chengkou County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.66972,31.950069,0
74,梁平区,Liangping District,重庆市,Chongqing,重庆市,Chongqing,中国,China,107.78897,30.666655,0
75,开州区,Kai County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.4108077,31.19530729,0
76,巫溪县,Wuxi County,重庆市,Chongqing,重庆市,Chongqing,中国,China,109.62247,31.406134,0
77,巫山县,"Wushan County, Chongqing",重庆市,Chongqing,重庆市,Chongqing,中国,China,109.88886,31.081345,0
78,奉节县,Fengjie County,重庆市,Chongqing,重庆市,Chongqing,中国,China,109.52475,31.054707,0
79,云阳县,Yunyang County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.8890232,30.95997021,0
80,忠县,Zhong County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.0239708,30.28927953,0
81,石柱土家族自治县,Shizhu Tujia Autonomous County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.1085412,29.99609165,0
82,秀山土家族苗族自治县,Xiushan Tujia and Miao Autonomous County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.98788,28.450329,0
83,酉阳土家族苗族自治县,Youyang Tujia and Miao Autonomous County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.766,28.841646,0
84,彭水苗族土家族自治县,Pengshui Miao and Tujia Autonomous County,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.1536477,29.30138502,0
85,万盛经济技术开发区,Wansheng Economic and Technological Development Zone,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.926267,28.95137496,0
86,渝北区,Yubei District,重庆市,Chongqing,重庆市,Chongqing,中国,China,106.631052,29.72353673,0
87,涪陵区,Fuling District,重庆市,Chongqing,重庆市,Chongqing,中国,China,107.389298,29.71146201,0
89,万州区,Wanzhou District,重庆市,Chongqing,重庆市,Chongqing,中国,China,108.408746,30.81613894,0
94,沈阳市,Shenyang,沈阳市,Shenyang,辽宁省,Liaoning,中国,China,123.3833914,41.80199341,0
96,苏家屯区,Sujiatun District,沈阳市,Shenyang,辽宁省,Liaoning,中国,China,123.3430472,41.66006506,0
97,新民市,Xinmin,沈阳市,Shenyang,辽宁省,Liaoning,中国,China,122.8218107,41.99049937,0
98,辽中区,Liaozhong district,沈阳市,Shenyang,辽宁省,Liaoning,中国,China,122.7291929,41.5063844,0
99,法库县,Faku County,沈阳市,Shenyang,辽宁省,Liaoning,中国,China,123.4057147,42.50166736,0
100,康平县,Kangping County,沈阳市,Shenyang,辽宁省,Liaoning,中国,China,123.351663,42.74102473,0
101,沈北新区,Shenbei New District,沈阳市,Shenyang,辽宁省,Liaoning,中国,China,123.52,42.05,0
102,弓长岭区,Gongchangling District,辽阳市,Liaoyang,辽宁省,Liaoning,中国,China,123.45,41.13,0
104,大连市,Dalian,大连市,Dalian,辽宁省,Liaoning,中国,China,121.5765993,38.94382049,0
105,旅顺口区,Lushunkou District,大连市,Dalian,辽宁省,Liaoning,中国,China,121.2527074,38.80257692,0
106,金州区,Jinzhou District,大连市,Dalian,辽宁省,Liaoning,中国,China,121.7169673,39.09301065,0
107,瓦房店市,Wafangdian,大连市,Dalian,辽宁省,Liaoning,中国,China,122.0067148,39.61993771,0
108,普兰店区,Pulandian District,大连市,Dalian,辽宁省,Liaoning,中国,China,121.9600285,39.39445437,0
109,庄河市,Zhuanghe,大连市,Dalian,辽宁省,Liaoning,中国,China,122.9719618,39.6890576,0
110,长海县,Changhai County,大连市,Dalian,辽宁省,Liaoning,中国,China,122.5781857,39.26915784,0
111,皮口镇,Pikou Town,大连市,Dalian,辽宁省,Liaoning,中国,China,122.3216914,39.42552599,0
113,鞍山市,Anshan,鞍山市,Anshan,辽宁省,Liaoning,中国,China,122.9770044,41.11529924,0
114,海城市,Haicheng,鞍山市,Anshan,辽宁省,Liaoning,中国,China,122.7490845,40.85263353,0
115,台安县,Taian County,鞍山市,Anshan,辽宁省,Liaoning,中国,China,122.4252696,41.38450102,0
116,岫岩满族自治县,Xiuyan Manchu Autonomous County,鞍山市,Anshan,辽宁省,Liaoning,中国,China,123.2812544,40.27954386,0
118,抚顺市,Fushun,抚顺市,Fushun,辽宁省,Liaoning,中国,China,123.9055447,41.8591993,0
120,清原满族自治县,Qingyuan Manchu Autonomous County,抚顺市,Fushun,辽宁省,Liaoning,中国,China,124.9230072,42.09783933,0
121,新宾满族自治县,Xinbin Manchu Autonomous County,抚顺市,Fushun,辽宁省,Liaoning,中国,China,125.0316709,41.72078382,0
122,章党镇,Zhangdang Town,抚顺市,Fushun,辽宁省,Liaoning,中国,China,124.078,41.9083,0
124,本溪市,Benxi,本溪市,Benxi,辽宁省,Liaoning,中国,China,123.7649534,41.30149307,0
125,本溪满族自治县,Benxi Manchu Autonomous County,本溪市,Benxi,辽宁省,Liaoning,中国,China,124.1112368,41.30299231,0
126,桓仁满族自治县,Huanren Manchu Autonomous County,本溪市,Benxi,辽宁省,Liaoning,中国,China,125.3487347,41.25391681,0
127,草河口镇,Caohekou Town,本溪市,Benxi,辽宁省,Liaoning,中国,China,123.911,40.8788,0
129,丹东市,Dandong,丹东市,Dandong,辽宁省,Liaoning,中国,China,124.3568851,40.10989985,0
130,东港市,Donggang,丹东市,Dandong,辽宁省,Liaoning,中国,China,124.14217,39.869289,0
131,凤城市,"Fengcheng, Dandong",丹东市,Dandong,辽宁省,Liaoning,中国,China,124.0605137,40.45866085,0
132,宽甸满族自治县,Kuandian Manchu Autonomous County,丹东市,Dandong,辽宁省,Liaoning,中国,China,124.7793151,40.72807619,0
135,锦州市,"Jinzhou, Liaoning",锦州市,"Jinzhou, Liaoning",辽宁省,Liaoning,中国,China,121.1441509,41.11587866,0
136,凌海市,Linghai,锦州市,"Jinzhou, Liaoning",辽宁省,Liaoning,中国,China,121.35494,41.171371,0
137,北镇市,Beizhen,锦州市,"Jinzhou, Liaoning",辽宁省,Liaoning,中国,China,121.7866,41.595165,0
138,黑山县,Heishan County,锦州市,"Jinzhou, Liaoning",辽宁省,Liaoning,中国,China,122.1099892,41.68798504,0
139,义县,"Yi County, Jinzhou",锦州市,"Jinzhou, Liaoning",辽宁省,Liaoning,中国,China,121.24303,41.539394,0
142,营口市,Yingkou,营口市,Yingkou,辽宁省,Liaoning,中国,China,122.277726,40.68639574,0
143,盖州市,Gaizhou,营口市,Yingkou,辽宁省,Liaoning,中国,China,122.3653196,40.3983343,0
144,大石桥市,Dashiqiao,营口市,Yingkou,辽宁省,Liaoning,中国,China,122.4996261,40.6334283,0
146,阜新市,Fuxin,阜新市,Fuxin,辽宁省,Liaoning,中国,China,121.6469168,42.01333533,0
147,彰武县,Zhangwu County,阜新市,Fuxin,辽宁省,Liaoning,中国,China,122.531819,42.38424582,0
150,辽阳市,Liaoyang,辽阳市,Liaoyang,辽宁省,Liaoning,中国,China,123.1713968,41.26606879,0
151,灯塔市,Dengta,辽阳市,Liaoyang,辽宁省,Liaoning,中国,China,123.31554,41.422836,0
152,辽阳县,Liaoyang County,辽阳市,Liaoyang,辽宁省,Liaoning,中国,China,123.07435,41.208042,0
154,盘锦市,Panjin,盘锦市,Panjin,辽宁省,Liaoning,中国,China,122.0509175,41.18020029,0
155,大洼区,Dawa District,盘锦市,Panjin,辽宁省,Liaoning,中国,China,122.0671251,40.99263479,0
156,盘山县,Panshan County,盘锦市,Panjin,辽宁省,Liaoning,中国,China,121.99664,41.25271772,0
158,铁岭市,Tieling,铁岭市,Tieling,辽宁省,Liaoning,中国,China,123.831052,42.29094083,0
160,开原市,"Kaiyuan, Tieling",铁岭市,Tieling,辽宁省,Liaoning,中国,China,124.0381,42.536697,0
162,西丰县,"Xifeng County, Tieling",铁岭市,Tieling,辽宁省,Liaoning,中国,China,124.7156118,42.734058,0
163,昌图县,Changtu County,铁岭市,Tieling,辽宁省,Liaoning,中国,China,124.1289231,42.7723948,0
164,调兵山市,Diaobingshan,铁岭市,Tieling,辽宁省,Liaoning,中国,China,123.55,42.47,0
165,铁法,Tiefa,铁岭市,Tieling,辽宁省,Liaoning,中国,China,123.5420194,42.44775833,0
167,朝阳市,Chaoyang,朝阳市,Chaoyang,辽宁省,Liaoning,中国,China,120.4561008,41.57877068,0
168,北票市,Beipiao,朝阳市,Chaoyang,辽宁省,Liaoning,中国,China,120.7646033,41.80841075,0
169,凌源市,Lingyuan,朝阳市,Chaoyang,辽宁省,Liaoning,中国,China,119.3982997,41.23965656,0
171,建平镇,Jianping Town,朝阳市,Chaoyang,辽宁省,Liaoning,中国,China,119.6454029,41.40479428,0
172,喀喇沁左翼蒙古族自治县,Harqin Left Wing Mongolian Autonomous County,朝阳市,Chaoyang,辽宁省,Liaoning,中国,China,119.7350255,41.12524417,0
173,调兵山市羊山镇,"Yangshan Town, Diaobingshan",朝阳市,Chaoyang,辽宁省,Liaoning,中国,China,120.3765972,41.19046389,0
174,建平县,Jianping County,朝阳市,Chaoyang,辽宁省,Liaoning,中国,China,119.63,41.4,0
176,葫芦岛市,Huludao,葫芦岛市,Huludao,辽宁省,Liaoning,中国,China,120.8444999,40.74091375,0
177,兴城市,Xingcheng,葫芦岛市,Huludao,辽宁省,Liaoning,中国,China,120.7044054,40.61640065,0
178,绥中县,Suizhong County,葫芦岛市,Huludao,辽宁省,Liaoning,中国,China,120.3447253,40.32335315,0
179,建昌县,Jianchang County,葫芦岛市,Huludao,辽宁省,Liaoning,中国,China,119.7957003,40.80752185,0
182,长春市,Changchun,长春市,Changchun,吉林省,Jilin,中国,China,125.3500003,43.86666945,0
183,双阳区,Shuangyang District,长春市,Changchun,吉林省,Jilin,中国,China,125.6708801,43.52247753,0
184,九台区,Jiutai District,长春市,Changchun,吉林省,Jilin,中国,China,125.8324508,44.15416965,0
185,榆树市,"Yushu, Changchun",长春市,Changchun,吉林省,Jilin,中国,China,126.5541261,44.82095228,0
186,德惠市,Dehui,长春市,Changchun,吉林省,Jilin,中国,China,125.7048826,44.52857288,0
187,农安县,Nongan County,长春市,Changchun,吉林省,Jilin,中国,China,125.1753252,44.4209875,0
189,吉林市,Jilin,吉林市,Jilin,吉林省,Jilin,中国,China,126.5670014,43.85085241,0
190,舒兰市,Shulan,吉林市,Jilin,吉林省,Jilin,中国,China,126.9468729,44.40779243,0
191,桦甸市,Huadian,吉林市,Jilin,吉林省,Jilin,中国,China,126.7435138,42.96538006,0
192,蛟河市,Jiaohe,吉林市,Jilin,吉林省,Jilin,中国,China,127.3408533,43.71819692,0
193,磐石市,Panshi,吉林市,Jilin,吉林省,Jilin,中国,China,126.0583722,42.93271322,0
194,永吉县,Yongji County,吉林市,Jilin,吉林省,Jilin,中国,China,126.4985797,43.65836037,0
195,烟筒山,Yantongshan,吉林市,Jilin,吉林省,Jilin,中国,China,126.031,43.2859,0
197,四平市,Siping,四平市,Siping,吉林省,Jilin,中国,China,124.3649469,43.16149282,0
198,公主岭市,Gongzhuling,长春市,Changchun,吉林省,Jilin,中国,China,124.8108084,43.50589735,0
199,双辽市,Shuangliao,四平市,Siping,吉林省,Jilin,中国,China,123.49197,43.511112,0
200,梨树县,Lishu County,四平市,Siping,吉林省,Jilin,中国,China,124.321909,43.30130511,0
201,伊通满族自治县,Yitong Manchu Autonomous County,四平市,Siping,吉林省,Jilin,中国,China,125.2944484,43.33710606,0
204,辽源市,Liaoyuan,辽源市,Liaoyuan,吉林省,Jilin,中国,China,125.1338888,42.90292028,0
205,东辽县,Dongliao County,辽源市,Liaoyuan,吉林省,Jilin,中国,China,124.979,42.909512,0
206,东丰县,Dongfeng County,辽源市,Liaoyuan,吉林省,Jilin,中国,China,125.52465,42.670563,0
208,通化市,Tonghua,通化市,Tonghua,吉林省,Jilin,中国,China,125.9294041,41.72085583,0
209,梅河口市,Meihekou,通化市,Tonghua,吉林省,Jilin,中国,China,125.68069,42.534595,0
210,集安市,Ji'an,通化市,Tonghua,吉林省,Jilin,中国,China,126.18375,41.12241,0
211,辉南县,Huinan County,通化市,Tonghua,吉林省,Jilin,中国,China,126.03673,42.680046,0
212,通化县,Tonghua County,通化市,Tonghua,吉林省,Jilin,中国,China,125.75433,41.679268,0
213,柳河县,Liuhe County,通化市,Tonghua,吉林省,Jilin,中国,China,125.72972,42.270134,0
215,白山市,Baishan,白山市,Baishan,吉林省,Jilin,中国,China,126.4151101,41.92996026,0
216,靖宇县,Jingyu County,白山市,Baishan,吉林省,Jilin,中国,China,126.8023391,42.39064902,0
217,抚松县,Fusong County,白山市,Baishan,吉林省,Jilin,中国,China,127.26592,42.32552,0
218,长白朝鲜族自治县,Changbai Korean Autonomous County,白山市,Baishan,吉林省,Jilin,中国,China,128.1925,41.420891,0
219,东岗镇,Donggang Town,白山市,Baishan,吉林省,Jilin,中国,China,127.95,42.16666666,0
220,临江市,Linjiang,白山市,Baishan,吉林省,Jilin,中国,China,126.9286093,41.82223357,0
221,江源区,Jiangyuan District,白山市,Baishan,吉林省,Jilin,中国,China,126.5911444,42.05677222,0
223,白城市,Baicheng,白城市,Baicheng,吉林省,Jilin,中国,China,122.8399156,45.61492847,0
224,洮南市,Taonan,白城市,Baicheng,吉林省,Jilin,中国,China,122.77431,45.337811,0
225,大安市,Daan,白城市,Baicheng,吉林省,Jilin,中国,China,124.28724,45.500519,0
226,镇赉县,Zhenlai County,白城市,Baicheng,吉林省,Jilin,中国,China,123.20025,45.841965,0
227,通榆县,Tongyu County,白城市,Baicheng,吉林省,Jilin,中国,China,123.08252,44.800243,0
229,松原市,Songyuan,松原市,Songyuan,吉林省,Jilin,中国,China,124.8028746,45.18003893,0
231,扶余市,Fuyu,松原市,Songyuan,吉林省,Jilin,中国,China,126.024736,44.99182659,0
232,长岭县,Changling County,松原市,Songyuan,吉林省,Jilin,中国,China,123.9887992,44.27313993,0
233,乾安县,Qian'an County,松原市,Songyuan,吉林省,Jilin,中国,China,124.0199561,44.99310122,0
234,前郭尔罗斯蒙古族自治县,Qian Gorlos Mongolian Autonomous County,松原市,Songyuan,吉林省,Jilin,中国,China,124.8336423,45.11134267,0
236,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,129.5028482,42.93364449,0
237,延吉市,Yanji,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,129.5115995,42.90673053,0
238,图们市,Tumen,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,129.840107,42.95921299,0
239,敦化市,Dunhua,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,128.2281951,43.36235323,0
240,龙井市,Longjing,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,129.4246983,42.76901939,0
241,珲春市,Hunchun,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,130.3599026,42.86291338,0
242,和龙市,Helong,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,129.0084979,42.54220824,0
243,安图县,Antu County,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,128.9161157,43.10312273,0
244,汪清县,Wangqing County,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,129.7375998,43.31576462,0
245,二道白河镇,Erdao Baihe Town,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,128.2,42.7,0
246,安图县松江镇,"Songjiang Town, Antu County",延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,127.1992222,43.55284167,0
247,罗子沟镇,Luozigou Town,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,吉林省,Jilin,中国,China,130.3512722,43.73074722,0
250,哈尔滨市,Harbin,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,126.6225811,45.75521417,0
252,呼兰区,Hulan District,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,126.601655,45.98623512,0
253,双城区,Shuangcheng District,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,126.32,45.53,0
254,尚志市,Shangzhi,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,127.95,45.22,0
255,五常市,Wuchang,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,127.17,44.93,0
256,阿城区,Acheng District,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,126.9654142,45.53882613,0
259,依兰县,Yilan County,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,129.5576538,46.30695793,0
260,方正县,Fangzheng County,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,128.8338838,45.82909069,0
261,宾县,"Bin County, Harbin",哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,127.48,45.75,0
262,巴彦县,Bayan County,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,127.38,46.08,0
263,木兰县,Mulan County,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,128.0449025,45.94198394,0
264,通河县,Tonghe County,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,128.7465921,45.96560485,0
265,延寿县,Yanshou County,哈尔滨市,Harbin,黑龙江省,Heilongjiang,中国,China,128.3415992,45.44410995,0
267,齐齐哈尔市,Qiqihar,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,123.9650286,47.34411388,0
271,讷河市,Nehe,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,124.8750646,48.48527525,0
272,龙江县,Longjiang County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,123.1785049,47.33755581,0
273,依安县,Yian County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,125.3039555,47.87612511,0
274,泰来县,Taylor County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,123.4101046,46.38806001,0
275,甘南县,Gannan County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,123.5071157,47.91464509,0
276,富裕县,Fuyu County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,124.4487286,47.78974146,0
277,克山县,Keshan County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,125.8708715,48.0224788,0
278,克东县,Kedong County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,126.2515585,48.02852871,0
279,拜泉县,Baiquan County,齐齐哈尔市,Qiqihar,黑龙江省,Heilongjiang,中国,China,126.088871,47.59374199,0
281,鸡西市,Jixi,鸡西市,Jixi,黑龙江省,Heilongjiang,中国,China,130.9705864,45.28200902,0
287,虎林市,Hulin,鸡西市,Jixi,黑龙江省,Heilongjiang,中国,China,132.93721,45.76934505,0
288,密山市,Mishan,鸡西市,Jixi,黑龙江省,Heilongjiang,中国,China,131.8620168,45.53742234,0
289,鸡东县,Jidong County,鸡西市,Jixi,黑龙江省,Heilongjiang,中国,China,131.1733219,45.24746531,0
291,鹤岗市,Hegang,鹤岗市,Hegang,黑龙江省,Heilongjiang,中国,China,130.2786936,47.32627801,0
292,萝北县,Luobei County,鹤岗市,Hegang,黑龙江省,Heilongjiang,中国,China,130.8256572,47.56997615,0
293,绥滨县,Suibin County,鹤岗市,Hegang,黑龙江省,Heilongjiang,中国,China,131.8477949,47.27995119,0
295,双鸭山市,Shuangyashan,双鸭山市,Shuangyashan,黑龙江省,Heilongjiang,中国,China,131.1469662,46.62880192,0
299,集贤县,Jixian County,双鸭山市,Shuangyashan,黑龙江省,Heilongjiang,中国,China,131.1254124,46.7190336,0
300,宝清县,Baoqing County,双鸭山市,Shuangyashan,黑龙江省,Heilongjiang,中国,China,132.1969114,46.32551836,0
301,饶河县,Raohe County,双鸭山市,Shuangyashan,黑龙江省,Heilongjiang,中国,China,134.0162955,46.79560314,0
303,友谊县,Youyi County,双鸭山市,Shuangyashan,黑龙江省,Heilongjiang,中国,China,131.8,46.78,0
305,大庆市,Daqing,大庆市,Daqing,黑龙江省,Heilongjiang,中国,China,125.0157541,46.59328805,0
310,肇源县,"Zhaoyuan, Daqing",大庆市,Daqing,黑龙江省,Heilongjiang,中国,China,125.0770174,45.51134383,0
311,肇州县,Zhaozhou,大庆市,Daqing,黑龙江省,Heilongjiang,中国,China,125.2682971,45.70420282,0
312,林甸县,Lindian County,大庆市,Daqing,黑龙江省,Heilongjiang,中国,China,124.8624794,47.17964311,0
314,杜尔伯特蒙古族自治县,Dorbod Mongol Autonomous County,大庆市,Daqing,黑龙江省,Heilongjiang,中国,China,124.4425472,46.86275,0
316,伊春市,"Yichun, Heilongjiang",伊春市,"Yichun, Heilongjiang",黑龙江省,Heilongjiang,中国,China,128.9060947,47.7191001,0
326,铁力市,Tieli,伊春市,"Yichun, Heilongjiang",黑龙江省,Heilongjiang,中国,China,128.0593257,46.98638497,0
327,嘉荫县,Jiayin County,伊春市,"Yichun, Heilongjiang",黑龙江省,Heilongjiang,中国,China,130.0561231,48.9307893,0
